,filler type,filler type.1,matrix type,filler size/nm,BET,cage size/A,aperture size/A,loading amout,thickness/μm,T/℃,P/bar,Control CH4 permeability,Control CO2/CH4 selectivity,Relative CO2 permeability,Relative CO2/CH4 selectivity
480,MIL-53,MIL-53,PSF Udel P-3500,600.0,1140.0,8.0,8.0,0.25,87.5,35,4.0,4.89795918367347,24.0,1.3265306122449,1.91666666666667
129,NUS-8,NUS-8,PIM-1-TT,5000.0,664.0,6.0,6.0,0.01,65.0,25,1.0,272.108843537415,14.7,1.3,1.71428571428571
475,MIL-101,MIL-101,SPEEK,500.0,1372.0,19.9,6.61,0.2,65.0,25,1.0,75.3968253968254,7.56,2.73684210526316,1.12962962962963
340,ZIF-8,ZIF-8,TBDA2-6FDA,45.0,1250.0,11.6,3.4,0.07,,35,1.0,8.0,35.625,1.33333333333333,0.711111111111111
337,ZIF-8,ZIF-8,TBDA2-6FDA,45.0,1250.0,11.6,3.4,0.07,,35,1.0,8.0,35.625,1.96491228070175,0.748538011695907
470,MIL-101,MIL-101,SPEEK,500.0,3175.0,19.9,7.5,0.1,65.0,25,1.0,75.3968253968254,7.56,1.12280701754386,1.17724867724868
148,MOF–74,MOF–74,PVAc,3000.0,325.0,11.0,11.0,0.05,60.0,35,6.0,0.07,10.1428571428571,1.2112676056338,1.2112676056338
27,Cu3BTC2,Cu3BTC2,PPO,13000.0,1791.5,8.6,8.6,0.1,30.0,30,10.0,4.39490445859873,15.7,1.23188405797101,1.49044585987261
357,ZIF-7,ZIF-7,PEI,40.0,350.0,7.5,3.0,0.05,400.0,35,2.03,18.9,4.36507936507937,0.784242424242424,2.96443636363636
130,NUS-8,NUS-8,PIM-1-TT,5000.0,664.0,6.0,6.0,0.02,65.0,25,1.0,272.108843537415,14.7,1.625,2.04761904761905
364,ZIF-90,ZIF-90,6FDA-TP,79.0,1426.0,11.2,3.5,0.2,58.5,35,,0.5,40.0,1.45,1.03571428571429
476,MIL-101,MIL-101,SPEEK,500.0,1372.0,19.9,6.61,0.3,65.0,25,1.0,75.3968253968254,7.56,3.43859649122807,1.25396825396825
518,UiO-66,UiO-66,PIM-1-TT,30.0,950.0,11.0,6.0,0.3,1.0,25,4.0,206.896551724138,14.5,0.733333333333333,1.55172413793103
200,ZIF-11,ZIF-11,Pebax2533,2500.0,350.29,14.6,3.0,0.7,150.0,20,2.0,26.0,38.3333333333333,1.76086956521739,0.812709030100334
370,MIL-53,MIL-53,6FDA-ODA,125.0,745.0,7.8,7.8,0.2,,35,11.2,2.97916666666667,4.8,1.00699300699301,2.45833333333333
449,MIL-53,MIL-53,FDH,100.0,795.0,7.8,7.8,0.15,,35,11.2,3.0,18.0333333333333,0.863216266173752,3.23706099815157
451,MIL-53,MIL-53,Matrimid 5218,200.0,1200.0,8.5,8.5,0.1,55.0,35,5.0,0.355,23.3802816901408,1.56626506024096,1.50276782806903
70,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,5.0,0.249,9.23694779116466,2.60869565217391,0.832775919732441
170,TKL-107,TKL-107,Matrimid 5218,,1454.0,6.0,6.0,0.05,65.0,25,2.0,0.209366391184573,36.3,1.17894736842105,1.21212121212121
26,Cu3BTC2,Cu3BTC2,PPO,50000.0,1669.1,8.6,8.6,0.1,30.0,30,10.0,4.39490445859873,15.7,1.09420289855072,0.872611464968153
150,MOF–74,MOF–74,PVAc,3000.0,325.0,11.0,11.0,0.2,60.0,35,6.0,0.07,10.1428571428571,3.40845070422535,2.16901408450704
128,NUS-8,NUS-8,PIM-1-TT,5000.0,664.0,6.0,6.0,0.005,65.0,25,1.0,272.108843537415,14.7,1.2,1.19047619047619
248,ZIF-8,ZIF-8,6FDA-HAB DAM-7,50.0,1350.0,11.6,3.4,0.2,60.0,35,1.0,12.7,23.9370078740157,1.19078947368421,1.33832091290172
118,Ni2(dobdc),Ni2(dobdc),matrimid ,17.5,1400.0,7.6,7.6,0.23,,25,1.0,0.276811594202899,34.5,0.974869109947644,0.855072463768116
447,MIL-53,MIL-53,FDH,100.0,1400.0,8.5,8.5,0.15,,35,11.2,3.0,18.0333333333333,1.31423290203327,0.83887206512762
199,ZIF-11,ZIF-11,Pebax2533,2500.0,350.29,14.6,3.0,0.5,150.0,20,2.0,26.0,38.3333333333333,1.0,1.2
391,MIL-53,MIL-53,6FDA/ODA-DAM,125.0,840.0,7.8,7.8,0.1,61.5,35,11.2,6.4,20.3125,0.861538461538462,1.22529914529915
127,KAUST-7,KAUST-7,6FDA-Durene,80.0,248.0,4.7,4.7,0.33,50.0,35,2.0,31.4583333333333,24.0,1.65562913907285,2.58333333333333
215,ZIF-8,ZIF-8,PEGDA-co-PEGMEA,200.0,1500.0,11.8,3.4,0.1,125.0,35,,19.0,17.3684210526316,1.6969696969697,1.11180773249739
393,MIL-53,MIL-53,6FDA/ODA-DAM,125.0,840.0,7.8,7.8,0.2,61.5,35,11.2,6.4,20.3125,0.884615384615385,0.690431519699812
260,ZIF-8,ZIF-8,PEBAX 1657,250.0,698.0,11.6,3.4,0.15,80.0,25,1.0,4.0,19.0,1.64473684210526,1.31578947368421
226,ZIF-108,ZIF-108,P84,,384.0,16.4,5.5,0.1,,30,3.0,0.0980662983425414,72.4,5.76056338028169,2.40331491712707
100,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,5.0,0.249,9.23694779116466,3.38260869565217,0.938985022538898
484,UiO-66,UiO-66,6FDA-BisP,50.0,951.0,11.0,6.0,0.14,45.0,25,2.0,1.0,28.0,3.71428571428571,1.5
80,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,5.0,0.249,9.23694779116466,2.31739130434783,0.887739130434783
411,Cu3BTC2,Cu3BTC2,PVDF,15000.0,626.0,,,0.05,,25,0.5,0.043,21.2790697674419,1.23060109289617,1.17590771098968
138,Fe-BTC,Fe-BTC,PEBAX 1657,200.0,1500.0,8.5,5.8,0.2,,25,3.0,3.84,18.4036458333333,1.39125512947502,1.20596381426278
214,ZIF-8,ZIF-8,PEGDA,200.0,1500.0,11.8,3.4,0.5,125.0,35,,6.5,20.0,10.0,0.6
89,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,4.0,0.227,9.91189427312775,2.40888888888889,0.781168253968254
410,Cu3BTC2,Cu3BTC2,PVDF,15000.0,1066.0,9.0,3.5,0.15,,25,0.5,0.043,21.2790697674419,3.50382513661202,3.50382513661202
368,MIL-53,MIL-53,6FDA-ODA,125.0,745.0,7.8,7.8,0.1,,35,11.2,2.97916666666667,4.8,0.993006993006993,2.14583333333333
112,MOF-5,MOF-5,PEI,55.0,2387.0,8.67,8.67,0.15,35.0,25,3.0,0.09,18.6666666666667,1.91071428571429,1.14642857142857
385,MIL-53,MIL-53,6FDA/ODA-DAM,125.0,840.0,7.8,7.8,0.2,61.5,35,11.2,1.7,18.9411764705882,1.62422360248447,1.31484767820172
533,UiO-66,UiO-66,PMMA,100.0,1500.0,11.0,6.0,0.21,150.0,24,4.0,0.008,68.75,2.05454545454545,0.898161947342275
494,UiO-66,UiO-66,6FDA-DAM,50.0,951.0,11.0,6.0,0.04,125.0,25,2.0,35.0877192982456,28.5,1.28,1.03157894736842
415,MIL-125,MIL-125,PSF,650.0,1300.0,10.7,6.0,0.2,10.0,30,3.0,0.431818181818182,22.0,3.08421052631579,1.34090909090909
297,ZIF-8,ZIF-8,Pebax2533,400.0,1350.0,11.6,3.4,0.2,50.0,25,6.0,34.0,8.79411764705882,2.81939799331104,0.743097145523839
478,MIL-53,MIL-53,PSF Udel P-3500,600.0,1140.0,8.0,8.0,0.08,87.5,35,4.0,4.89795918367347,24.0,1.02040816326531,1.20833333333333
271,ZIF-67,ZIF-67,PEBAX 1657,300.0,1465.0,11.6,3.3,0.04,95.0,35,11.0,4.1,17.0975609756098,2.28245363766049,1.61345860593241
327,ZIF-8,ZIF-8,Matrimid 5218,,1650.0,11.6,3.4,0.25,55.0,33,4.5,0.333333333333333,33.0,2.18181818181818,1.18181818181818
229,ZIF-108,ZIF-108,P84,,384.0,16.4,5.5,0.59,,30,3.0,0.0980662983425414,72.4,23.2394366197183,0.00897790055248619
405,MIL-53,MIL-53,PVDF,100.0,1170.0,8.5,8.5,0.1,,25,0.5,0.043,21.2790697674419,1.69726775956284,0.98625018461084
0,Cu3BTC2,Cu3BTC2,Azide-PMP,100.0,1232.0,8.6,8.6,0.05,60.0,30,2.0,10.5,9.25714285714286,0.908436213991769,1.83434235517569
495,UiO-66,UiO-66,6FDA-DAM,50.0,951.0,11.0,6.0,0.08,125.0,25,2.0,35.0877192982456,28.5,1.9,1.12280701754386
184,ZIF-8,ZIF-8,6FDA-Durene/DABA (9/1),80.0,1350.0,11.6,3.4,0.3,50.0,3,10.0,13.1,19.5419847328244,2.3515625,1.02004863410596
198,ZIF-11,ZIF-11,Pebax2533,2500.0,350.29,14.6,3.0,0.3,150.0,20,2.0,26.0,38.3333333333333,0.782608695652174,1.23569794050343
180,ZIF-8,ZIF-8,6FDA-Durene/DABA (9/1),80.0,1350.0,11.6,3.4,0.05,50.0,3,10.0,13.1,19.5419847328244,1.01953125,1.01180752840909
29,Cu3BTC2,Cu3BTC2,PEBAX 1657,,644.0,8.6,8.6,0.15,75.0,30,0.3,5.12,16.4453125,1.60570071258907,1.43476224231345
126,KAUST-7,KAUST-7,6FDA-Durene,80.0,248.0,4.7,4.7,0.33,50.0,35,2.0,31.4583333333333,24.0,1.48344370860927,2.22916666666667
346,ZIF-67,ZIF-67,PIM-1-TT,300.0,1481.0,11.6,3.4,0.05,85.0,30,2.0,360.0,6.2,1.13636363636364,1.2258064516129
177,Cu3BDC2,Cu3BDC2,PIM-1-TT,27.5,180.0,5.2,5.2,0.15,0.2,25,1.0,489.0,3.0,0.272090395480226,3.73333333333333
389,MIL-53,MIL-53,6FDA/ODA-DAM,125.0,840.0,7.8,7.8,0.35,61.5,35,11.2,1.7,18.9411764705882,2.04347826086956,1.44746376811594
167,MOF-74,MOF-74,PIM-1-TD,11000.0,1250.0,11.0,11.0,0.15,50.0,25,2.0,536.0,12.2686567164179,2.29075425790754,1.41783404415525
332,ZIF-7,ZIF-7,PIM-1-TT,30.0,351.0,7.5,3.0,0.3,85.0,30,2.0,368.852459016393,12.2,1.31111111111111,0.622950819672131
402,MIL-53,MIL-53,PMP,110.0,1440.0,7.8,7.8,0.25,65.0,30,2.0,11.32,8.7226148409894,2.06036054283978,2.31381759374467
75,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,5.0,0.249,9.23694779116466,2.21739130434783,0.88624467862377
147,sod-ZMOF,sod-ZMOF,Matrimid 5218,2000.0,33.0,1.6,9.6,0.2,47.5,30,4.0,0.15,37.2666666666667,2.17710196779964,0.88260890586472
99,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,4.0,0.227,9.91189427312775,3.15555555555556,0.884334705075446
450,MIL-53,MIL-53,FDH,100.0,795.0,7.8,7.8,0.2,,35,11.2,3.0,18.0333333333333,0.818853974121996,1.53535120147874
453,MIL-53,MIL-53,Matrimid 5218,200.0,1200.0,8.5,8.5,0.3,55.0,35,5.0,0.355,23.3802816901408,2.46987951807229,2.27742137380692
188,ZIF-8,ZIF-8,PIM-1,40.0,1350.0,11.6,3.4,0.36,,35,1.0,310.0,24.3888888888889,1.55353075170843,0.735882987651361
158,MOP-18,MOP-18,Matrimid 5218,5000.0,,15.0,10.0,0.44,74.0,35,2.6,0.22,33.3181818181818,2.12960436562074,0.493171537301644
374,MIL-53,MIL-53,6FDA-ODA,125.0,745.0,7.8,7.8,0.36,,35,11.2,2.97916666666667,4.8,1.03146853146853,2.14583333333333
426,MIL-101,MIL-101,Matrimid 5218/PVDF(3%),,2730.0,19.9,12.0,0.1,,35,7.0,0.22,42.8181818181818,1.57855626326964,1.44700990799717
234,ZIF-8,ZIF-8,PEBAX 1657,66.0,1637.0,11.6,3.4,8.0,13.0,30,2.0,22.0,6.45454545454545,1.75352112676056,2.03039288361749
409,Cu3BTC2,Cu3BTC2,PVDF,15000.0,1066.0,9.0,3.5,0.1,,25,0.5,0.043,21.2790697674419,2.1879781420765,1.96006375227687
353,ZIF-7,ZIF-7,XLPEO,40.0,417.0,7.5,3.0,0.09,100.0,35,5.0,4.56521739130435,23.0,1.42857142857143,1.39130434782609
210,ZIF-71,ZIF-71,PIM-1-TT,,996.4,16.5,4.2,0.3,60.0,35,3.5,36.2,34.0662983425414,2.80457346740188,1.04557733800153
408,Cu3BTC2,Cu3BTC2,PVDF,15000.0,1066.0,9.0,3.5,0.05,,25,0.5,0.043,21.2790697674419,1.16612021857923,1.16612021857923
194,ZIF-71,ZIF-71,6FDA-Durene,100.0,679.0,16.5,4.2,0.3,,35,3.5,58.6,14.7085889570552,8.08133472367049,0.780597072567875
491,UiO-66,UiO-66,6FDA-ODA,50.0,951.0,11.0,6.0,0.08,100.0,25,2.0,0.717948717948718,39.0,1.33928571428571,1.35897435897436
466,MIL-125,MIL-125,Matrimid 9725,150.0,930.0,10.7,5.5,0.1,,35,9.0,0.133333333333333,30.0,1.875,1.48333333333333
347,ZIF-67,ZIF-67,PIM-1-TT,300.0,1481.0,11.6,3.4,0.1,85.0,30,2.0,360.0,6.2,1.22727272727273,1.29032258064516
296,ZIF-8,ZIF-8,Pebax2533,400.0,1350.0,11.6,3.4,0.15,50.0,25,6.0,34.0,8.79411764705882,1.69899665551839,0.614530705187504
267,ZIF-8,ZIF-8,PEBAX 1657,700.0,1506.0,11.6,3.4,0.04,95.0,35,11.0,4.1,17.0975609756098,1.83166904422254,1.15536047404806
4,MMIF,MMIF,Matrimid 5218,45.0,420.0,3.35,3.35,0.1,,35,4.0,0.19,35.8947368421053,1.18768328445748,1.07457059069962
272,ZIF-67,ZIF-67,PEBAX 1657,300.0,1465.0,11.6,3.3,0.05,95.0,35,11.0,4.1,17.0975609756098,2.31098430813124,1.45769779435971
197,ZIF-8,ZIF-8,PPEES,4900.0,1550.0,11.8,3.4,0.3,,30,1.0,0.3,25.0,10.0,0.952380952380952
178,ZIF-7,ZIF-7,PEI,55.0,350.0,7.5,3.0,0.05,400.0,3,2.03,18.9,3.78440366972477,0.784242424242424,4.49907496012759
222,ZIF-8,ZIF-8,PEBAX-1074,90.0,1500.0,11.8,3.4,0.1,60.0,25,3.0,5.8,11.2068965517241,1.81538461538462,1.48299024918743
141,Fe-BTC,Fe-BTC,PEBAX 1657,200.0,1500.0,8.5,5.8,0.4,,25,3.0,3.84,18.4036458333333,6.01952738078392,0.668063154399141
22,Cu3BTC2,Cu3BTC2,ODPA–TMPDA,400.0,1232.0,8.6,8.6,0.4,55.0,35,2.0,1.62854216456128,29.29,5.46540880503145,0.947422328439741
422,MIL-101,MIL-101,6FDA-mPD,250.0,2770.0,12.0,12.0,0.24,,35,3.0,0.185185185185185,54.0,5.0,0.925925925925926
247,ZIF-8,ZIF-8,6FDA-HAB DAM-5,50.0,1350.0,11.6,3.4,0.2,60.0,35,1.0,6.9,33.768115942029,1.22317596566524,1.04196471149261
31,Cu–BPY–HFS,Cu–BPY–HFS,Matrimid 5218,250.0,2000.0,8.0,8.0,0.1,,35,3.9,0.21,34.7142857142857,1.07133058984911,0.93741426611797
121,Ni2(dobdc),Ni2(dobdc),6FDA-DAM,17.5,1400.0,7.6,7.6,0.23,,25,1.0,27.7005347593583,18.7,1.38030888030888,0.775401069518717
