,filler type,filler type.1,matrix type,filler size/nm,BET,cage size/A,aperture size/A,loading amout,thickness/μm,T/℃,P/bar,Control CH4 permeability,Control CO2/CH4 selectivity,Relative CO2 permeability,Relative CO2/CH4 selectivity
140,Fe-BTC,Fe-BTC,PEBAX 1657,200.0,1500.0,8.5,5.8,0.3,,25,3.0,3.84,18.4036458333333,5.69817461440498,1.16885633116
63,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,3.0,0.225,9.77777777777778,2.29545454545454,0.849469198564593
1,Cu3BTC2,Cu3BTC2,Azide-PMP,100.0,1232.0,8.6,8.6,0.1,60.0,30,2.0,10.5,9.25714285714286,1.05452674897119,2.08915676682972
285,ZIF-8,ZIF-8,6FDA-Durene,150.0,1350.0,11.6,3.4,0.2,50.0,25,6.0,68.1,20.0558002936858,1.44596573436814,0.962563700004595
92,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,2.0,0.223,9.41704035874439,2.9047619047619,1.05670783811077
18,Cu3BTC2,Cu3BTC2,ODPA–TMPDA,400.0,1232.0,,8.6,0.1,55.0,35,2.0,1.62854216456128,29.29,2.45283018867925,0.897917377944691
50,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,5.0,0.249,9.23694779116466,2.34347826086957,0.951918575785517
435,MIL-101,MIL-101,PSF,1000.0,519.0,19.9,12.0,0.08,75.0,35,3.0,0.211570247933884,24.2,1.07421875,0.98099173553719
328,ZIF-8,ZIF-8,Matrimid 5218,,1650.0,11.6,3.4,0.25,55.0,33,4.5,0.333333333333333,33.0,4.31818181818182,0.96969696969697
116,T-MOF-5,T-MOF-5,PEI,90.0,1280.0,6.3,6.3,0.25,35.0,25,6.0,0.09,18.8888888888889,1.76470588235294,1.32352941176471
499,UiO-66,UiO-66,6FDA-DAM,,965.0,11.0,6.0,0.1,125.0,25,2.0,35.0877192982456,28.5,1.17,1.08771929824561
144,NOTT-300,NOTT-300,PEBAX 1657,900.0,1370.0,6.5,6.5,0.4,60.0,25,10.0,3.8,21.6184210526316,4.80827754108338,1.69180135704786
86,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,1.0,0.22,9.31818181818182,2.73170731707317,1.19005071238831
520,UiO-66,UiO-66,Matrimid 5218,350.0,1200.0,11.0,6.0,0.1,100.0,25,3.0,0.6,30.0,2.94444444444444,1.41
477,MIL-101,MIL-101,SPEEK,500.0,1372.0,19.9,6.61,0.4,65.0,25,1.0,75.3968253968254,7.56,4.36842105263158,1.45502645502646
72,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,2.0,0.223,9.41704035874439,2.23809523809524,1.06644281644282
287,ZIF-8,ZIF-8,Pebax2533,400.0,1350.0,11.6,3.4,0.05,50.0,25,2.0,42.0,8.35714285714286,1.03988603988604,0.970560303893637
489,UiO-66,UiO-66,6FDA-DAM,50.0,951.0,11.0,6.0,0.23,45.0,25,2.0,33.8983050847458,29.5,2.38,0.406779661016949
420,MIL-101,MIL-101,6FDA-mPD,250.0,2770.0,12.0,12.0,0.08,,35,3.0,0.185185185185185,54.0,1.4,0.981481481481482
330,ZIF-7,ZIF-7,PIM-1-TT,30.0,351.0,7.5,3.0,0.1,85.0,30,2.0,368.852459016393,12.2,0.766666666666667,1.18852459016393
537,UiO-66,UiO-66,6FDA-ODA,200.0,826.0,11.0,6.0,0.25,30.0,35,11.2,0.33,43.6363636363636,0.951388888888889,1.16280864197531
339,ZIF-8,ZIF-8,TBDA2-6FDA,45.0,1250.0,11.6,3.4,0.3,,35,1.0,8.0,35.625,5.04210526315789,0.438443935926773
349,ZIF-7,ZIF-7,XLPEO,70.0,350.0,7.5,3.0,0.1,100.0,35,5.0,4.56521739130435,23.0,1.0952380952381,1.08695652173913
359,ZIF-11,ZIF-11,Matrimid 5218,1000.0,1100.0,16.5,3.0,0.1,70.0,35,4.0,0.26,16.1538461538462,1.60714285714286,1.44088669950739
535,UiO-66,UiO-66,PMMA,,965.0,11.0,6.0,0.28,150.0,24,4.0,0.008,68.75,2.03636363636364,2.08857808857809
14,Cu3BTC2,Cu3BTC2,ODPA–TMPDA,400.0,1232.0,8.6,8.6,0.1,55.0,35,2.0,1.62854216456128,29.29,1.82389937106918,0.928644588596791
257,ZIF-8,ZIF-8,PEBAX 1657,275.0,1029.0,11.6,3.4,0.25,80.0,25,1.0,4.0,19.0,2.69736842105263,0.829959514170041
57,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,2.0,0.223,9.41704035874439,1.9047619047619,0.935598909167191
501,UiO-66,UiO-66,6FDA-DAM,,965.0,11.0,6.0,0.22,125.0,25,2.0,35.0877192982456,28.5,1.55,0.736842105263158
109,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,4.0,0.227,9.91189427312775,3.2,0.894581280788177
227,ZIF-108,ZIF-108,P84,,384.0,16.4,5.5,0.16,,30,3.0,0.0980662983425414,72.4,14.3661971830986,0.878453038674033
473,MIL-101,MIL-101,SPEEK,500.0,3175.0,19.9,7.5,0.4,65.0,25,1.0,75.3968253968254,7.56,2.54385964912281,1.77777777777778
311,ZIF-8,ZIF-8,Matrimid 5218,120.0,1350.0,11.6,3.4,0.3,,35,5.0,0.24,33.3333333333333,3.25,1.73333333333333
151,MOF–74,MOF–74,PVAc,3000.0,402.0,11.0,11.0,0.2,60.0,35,6.0,0.07,10.1428571428571,6.61971830985916,2.43884358784285
120,Ni2(dobdc),Ni2(dobdc),6FDA-DAM:DAT,17.5,1400.0,7.6,7.6,0.18,,25,1.0,6.10223642172524,31.3,1.15183246073298,0.97444089456869
84,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,4.0,0.227,9.91189427312775,2.36444444444444,0.81199529332661
96,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,1.0,0.22,9.31818181818182,2.65853658536585,0.938809067063384
173,TKL-107,TKL-107,Matrimid 5218,,1454.0,6.0,6.0,0.3,65.0,25,2.0,0.209366391184573,36.3,3.42105263157895,1.34710743801653
419,MIL-53,MIL-53,Matrimid 5218,100.0,1118.0,8.5,8.5,0.375,55.0,35,2.0,0.22,38.1818181818182,6.19047619047619,1.23809523809524
